Age,Breed1,Breed2,Gender,Color1,Color2,MaturitySize,Vaccinated,FurLength,Dewormed,Sterilized,Health,Quantity,AdoptionSpeed,AdoptionSpeedBinary
48,307,0,2,1,2,3,1,1,1,2,1,1,4,1
2,266,0,2,7,0,2,2,1,2,2,1,1,4,1
36,218,307,1,1,7,2,1,2,1,1,1,1,1,0
2,266,265,3,1,7,2,2,2,2,2,1,4,3,1
3,266,265,2,1,7,2,3,1,3,3,1,1,2,0
60,103,0,2,1,0,2,1,2,1,1,1,1,1,0
2,307,0,3,1,2,2,1,2,1,2,1,9,2,0
36,266,0,2,1,2,1,1,1,1,2,1,2,2,0
3,307,307,1,5,6,2,2,2,2,2,1,1,4,1
2,292,266,3,3,5,1,1,1,1,2,1,3,3,1
12,285,0,2,6,7,3,3,2,1,2,1,8,1,0
48,307,0,2,2,0,2,1,1,1,1,1,1,4,1
48,141,307,3,5,0,2,3,2,3,1,1,2,4,1
1,307,307,2,2,7,2,1,2,1,2,1,1,2,0
12,266,0,1,7,0,3,3,1,3,3,1,1,2,0
1,265,265,3,1,0,1,2,2,2,2,1,2,2,0
3,307,0,1,1,2,2,1,1,1,2,1,1,2,0
1,307,0,2,2,5,2,1,2,2,2,1,1,4,1
28,206,0,1,1,7,3,1,2,1,3,1,1,1,0
20,264,264,2,5,6,3,2,3,1,2,1,1,2,0
1,307,0,2,1,7,2,2,1,2,2,1,1,2,0
2,266,0,2,1,4,2,2,1,1,3,1,1,1,0
2,307,0,2,1,7,2,2,2,1,2,1,1,3,1
1,307,0,3,2,5,2,2,1,2,2,1,9,3,1
22,266,0,2,1,0,2,1,1,1,1,1,1,4,1
3,307,0,1,5,0,2,2,2,1,2,1,1,4,1
1,307,0,2,1,5,2,2,2,1,2,1,1,2,0
2,307,0,2,1,2,2,2,1,1,2,1,1,4,1
1,307,0,2,1,2,3,2,1,2,2,1,1,2,0
2,307,0,2,1,2,2,2,1,2,2,1,1,3,1
24,266,0,3,1,2,1,3,1,3,2,1,3,4,1
1,307,0,3,1,2,2,2,1,2,2,1,9,3,1
16,218,307,1,2,0,2,1,1,1,1,1,1,4,1
4,266,0,3,3,6,3,2,1,2,2,1,3,1,0
60,307,307,2,3,7,2,1,2,1,1,1,1,4,1
48,266,0,1,3,7,2,2,2,2,2,1,1,2,0
1,307,0,2,2,7,3,2,1,2,2,1,1,1,0
2,266,0,1,1,7,1,2,1,1,2,1,1,1,0
2,307,0,1,1,2,2,1,1,1,2,1,1,2,0
3,266,0,1,3,0,2,2,1,2,2,1,1,3,1
14,206,0,2,1,7,3,1,1,1,2,1,1,1,0
2,307,307,2,1,2,2,3,1,1,2,1,1,3,1
2,307,0,2,5,7,2,1,2,2,2,1,1,4,1
54,307,0,1,2,0,2,3,2,3,3,1,1,4,1
19,307,0,1,1,7,2,1,1,1,1,1,1,4,1
24,307,0,1,4,7,2,3,2,3,2,1,1,3,1
8,266,0,2,1,6,2,2,1,2,1,1,1,4,1
1,307,0,1,1,2,2,2,1,1,2,1,1,1,0
84,109,141,2,1,0,2,1,2,1,2,1,1,3,1
2,307,0,2,5,0,2,1,2,1,2,1,1,3,1
96,19,200,1,2,3,2,1,1,1,1,1,1,3,1
3,295,0,3,3,7,2,1,1,1,1,1,3,4,1
12,266,300,2,1,2,2,2,1,3,1,1,1,4,1
1,265,0,2,1,3,2,2,2,2,2,1,1,1,0
18,307,307,2,7,0,2,1,1,1,1,1,1,4,1
12,254,266,2,4,6,2,1,1,1,1,1,1,3,1
8,265,266,1,4,5,2,2,1,1,2,1,9,0,0
2,307,0,2,1,2,2,1,2,1,3,1,2,4,1
2,266,0,1,1,7,2,2,2,1,2,1,1,3,1
4,307,141,2,1,0,2,1,1,1,1,1,1,3,1
12,307,0,2,2,3,2,3,2,3,1,1,1,3,1
12,266,250,1,1,2,2,1,1,1,1,1,1,3,1
2,189,307,1,1,2,2,1,1,1,3,1,1,0,0
3,266,0,1,4,0,1,1,1,1,2,1,1,2,0
1,307,0,1,1,5,2,2,1,2,2,1,1,1,0
10,266,0,2,1,7,2,1,1,1,1,1,1,4,1
14,254,0,2,1,3,1,1,1,1,1,1,1,1,0
36,307,0,2,5,7,2,3,2,3,1,1,1,2,0
5,307,0,1,1,0,2,1,2,1,2,1,1,4,1
81,119,307,1,1,7,2,2,2,1,2,1,1,3,1
3,266,0,3,1,4,1,2,1,2,2,1,4,2,0
12,266,0,1,3,6,2,2,1,1,1,1,2,4,1
4,265,0,2,1,5,2,2,2,1,1,1,1,1,0
23,307,307,2,2,0,3,1,2,1,1,1,1,4,1
24,307,218,3,2,4,2,2,1,2,1,1,4,3,1
2,266,266,3,1,6,2,2,1,1,2,1,4,4,1
2,307,0,2,1,2,3,1,1,1,2,1,1,3,1
76,20,0,2,1,2,2,1,2,1,2,1,1,2,0
6,266,0,3,1,7,2,2,1,2,2,1,2,1,0
6,179,307,1,2,0,1,3,2,3,3,1,1,0,0
1,307,0,1,6,7,2,2,1,2,2,1,1,2,0
96,141,0,2,1,0,3,1,1,1,1,1,1,3,1
2,307,0,2,2,0,2,1,2,1,2,1,2,2,0
2,307,0,3,1,2,2,2,1,1,2,1,4,1,0
5,307,0,2,2,0,1,3,1,3,3,1,1,4,1
60,10,0,2,1,7,2,1,1,1,1,1,1,3,1
1,307,0,2,2,0,2,2,2,2,2,1,2,2,0
4,307,0,1,2,7,2,2,1,2,2,1,1,4,1
14,243,0,1,5,7,2,1,2,1,1,1,1,3,1
12,247,292,2,6,0,2,1,1,1,1,1,1,3,1
2,307,39,2,1,4,2,2,1,1,2,1,1,1,0
1,307,0,1,2,0,1,2,2,2,1,1,1,4,1
48,109,0,1,3,0,3,1,2,1,1,1,1,2,0
9,292,0,1,2,7,3,1,1,1,2,1,1,2,0
4,307,0,3,1,4,1,2,2,2,2,1,7,2,0
36,205,179,2,1,2,2,3,3,3,3,1,1,4,1
12,265,0,2,7,0,2,2,2,3,3,1,1,4,1
2,266,0,2,1,7,2,1,1,1,2,1,1,3,1
1,266,0,1,7,0,2,2,1,1,2,1,2,1,0
2,307,0,1,1,2,2,2,2,2,2,1,2,2,0
24,307,307,3,1,5,2,3,2,3,3,1,2,2,0
3,307,0,2,1,7,2,2,1,1,2,1,1,2,0
12,265,0,2,1,2,2,2,2,2,1,1,1,3,1
4,307,0,2,5,7,2,1,1,1,1,1,1,3,1
9,266,0,3,1,0,2,2,1,1,2,1,2,1,0
1,265,0,3,1,0,2,2,2,2,2,1,3,2,0
48,307,0,2,2,7,1,1,2,1,1,1,1,4,1
3,283,0,2,1,2,2,2,2,1,3,1,1,4,1
2,152,307,2,5,0,2,2,1,1,2,1,1,3,1
2,307,0,2,7,0,2,2,1,2,2,1,1,2,0
6,307,0,2,7,0,2,3,1,3,3,1,1,4,1
36,307,0,2,2,0,2,1,1,1,1,1,1,3,1
2,307,0,1,1,2,2,2,2,2,2,1,4,4,1
3,299,300,1,4,0,2,1,2,1,1,1,1,4,1
2,266,0,2,6,7,2,1,1,1,1,1,1,1,0
6,292,265,2,2,5,1,1,2,1,2,1,1,1,0
25,266,0,3,1,4,3,2,1,1,2,1,4,3,1
21,264,0,1,5,0,2,1,3,1,2,1,1,4,1
7,265,0,2,6,7,2,1,2,1,1,1,1,2,0
2,265,0,2,1,7,2,2,2,2,2,1,1,3,1
2,307,0,2,2,0,2,1,2,1,2,1,1,3,1
2,266,0,2,6,0,2,2,2,1,2,1,1,3,1
4,266,243,2,2,6,1,2,1,1,2,1,1,3,1
2,265,0,3,1,6,1,2,2,2,2,1,2,4,1
2,307,307,1,2,7,2,2,1,2,2,1,1,3,1
4,265,0,2,4,7,1,2,1,1,2,1,1,4,1
3,307,141,2,5,0,2,1,1,1,1,1,1,2,0
12,307,0,3,2,0,2,3,2,3,3,1,4,4,1
1,307,307,3,2,5,2,2,1,2,2,1,4,3,1
4,266,0,1,6,0,2,2,1,2,2,1,2,4,1
6,307,0,2,1,0,2,2,2,1,2,1,1,4,1
2,307,307,1,1,2,2,1,2,1,2,1,1,3,1
48,128,0,1,2,7,1,1,1,1,3,1,1,2,0
1,307,0,2,7,0,2,2,2,2,3,1,2,1,0
1,307,0,2,1,6,2,2,1,2,2,1,1,3,1
1,307,0,2,1,2,2,2,2,2,2,1,1,3,1
36,213,307,1,5,7,1,1,2,1,1,1,1,4,1
36,19,19,2,1,2,2,3,1,3,3,1,1,3,1
1,266,0,2,1,4,1,2,1,2,2,1,1,1,0
2,307,0,2,2,4,1,1,1,1,1,1,1,3,1
36,266,0,1,1,6,2,3,2,3,3,1,1,4,1
8,299,0,1,3,4,2,1,1,1,2,1,1,3,1
2,307,0,2,1,2,2,2,2,2,2,1,1,4,1
1,266,0,2,2,5,2,2,1,1,2,1,1,1,0
1,307,218,2,1,2,2,2,1,2,2,1,1,2,0
1,265,265,3,1,3,1,2,2,2,2,1,5,4,1
2,266,0,1,3,5,2,1,1,1,2,1,3,2,0
3,266,0,3,4,7,1,1,1,1,2,1,2,2,0
3,119,218,2,1,2,2,2,2,1,1,1,1,0,0
5,283,284,1,2,7,2,1,1,1,1,1,1,3,1
2,266,0,2,3,0,1,2,1,1,2,1,1,2,0
2,266,0,2,3,7,2,2,1,2,2,1,1,2,0
24,266,0,1,5,7,2,2,1,1,2,1,1,4,1
5,266,0,2,2,0,1,1,1,1,2,1,1,1,0
3,264,0,2,4,7,3,2,3,1,3,1,1,1,0
1,307,0,1,2,7,2,2,1,2,2,1,2,1,0
2,307,0,1,1,7,2,1,2,1,2,1,1,1,0
47,307,0,1,1,0,2,1,1,1,2,1,1,4,1
4,266,0,3,1,6,1,2,1,2,2,1,3,4,1
5,292,0,1,2,5,2,1,1,1,2,1,1,1,0
1,307,0,1,1,2,2,2,2,2,2,1,3,3,1
2,266,0,1,1,7,1,2,1,2,2,1,1,1,0
2,307,0,2,1,2,2,3,1,3,2,1,1,3,1
4,307,0,1,2,0,2,1,1,1,2,1,1,1,0
1,307,0,2,1,7,2,2,2,2,2,1,1,2,0
0,265,0,2,1,2,3,2,2,2,2,1,3,2,0
6,307,0,1,1,7,2,1,1,1,1,1,1,4,1
36,179,0,1,2,0,1,3,2,3,2,1,1,2,0
60,307,0,2,1,0,2,3,1,3,2,1,1,4,1
2,307,0,1,1,2,2,2,2,2,2,1,5,3,1
24,39,307,2,1,7,2,1,3,1,1,1,1,4,1
1,266,0,3,1,7,1,3,1,3,2,1,2,3,1
5,307,0,1,2,7,2,3,1,1,2,1,1,4,1
24,205,0,2,2,7,1,1,2,1,1,1,1,3,1
6,307,0,1,2,7,2,1,1,1,3,1,1,2,0
12,205,0,1,2,5,1,1,2,1,1,1,1,1,0
1,218,307,1,2,5,2,1,2,1,2,1,1,2,0
2,264,0,2,1,4,1,2,3,1,2,1,1,1,0
1,189,0,1,1,0,3,1,1,1,2,1,1,1,0
16,266,0,1,1,2,3,1,2,1,2,1,1,2,0
4,265,0,2,1,0,1,1,2,1,2,1,1,4,1
10,265,0,2,1,2,2,2,2,2,2,1,1,1,0
4,307,307,2,2,0,2,2,2,3,3,1,1,4,1
2,307,0,1,3,0,2,2,1,2,2,1,1,3,1
3,307,141,1,5,0,3,2,1,2,3,1,1,2,0
4,103,307,2,1,2,1,2,2,2,2,1,1,4,1
2,307,0,1,1,2,2,1,1,1,2,1,1,3,1
2,266,0,2,4,7,1,1,1,1,2,1,3,2,0
4,189,103,2,1,5,3,1,2,1,2,1,1,2,0
5,307,0,2,2,0,2,1,1,1,2,1,1,4,1
5,307,0,1,7,0,2,1,1,1,1,1,1,4,1
67,179,0,2,2,0,1,1,2,1,1,1,1,3,1
2,307,307,3,2,5,2,1,2,1,2,1,4,3,1
1,266,0,1,3,6,2,2,1,1,2,1,1,2,0
4,307,0,2,1,2,2,1,1,1,1,1,1,4,1
4,307,109,1,3,4,2,2,1,2,2,1,1,1,0
2,265,0,3,3,7,1,2,2,1,2,1,5,4,1
1,265,265,3,1,2,2,2,2,2,3,1,2,3,1
2,307,0,1,2,0,2,2,1,2,2,1,1,2,0
2,266,0,2,2,7,2,2,1,1,2,1,1,3,1
6,266,0,1,1,7,2,1,1,1,3,1,1,4,1
2,307,0,2,2,7,2,2,1,2,2,1,1,4,1
1,299,0,3,1,2,1,2,1,2,2,1,2,1,0
1,307,0,2,1,2,2,2,2,2,2,1,1,4,1
5,266,0,2,1,4,2,2,1,1,2,1,1,2,0
3,264,0,3,6,7,3,1,3,1,2,1,2,1,0
1,266,0,2,1,5,2,1,2,2,2,1,1,2,0
3,307,0,3,2,7,2,2,1,2,2,1,3,3,1
2,266,0,1,1,7,2,2,1,1,2,1,1,2,0
12,266,0,2,4,7,2,2,1,1,2,1,1,4,1
3,307,0,2,1,2,3,3,1,3,2,1,1,2,0
1,307,0,3,1,2,1,2,1,2,2,1,6,1,0
1,243,0,1,1,7,1,2,1,2,2,1,1,2,0
11,266,266,3,1,3,2,1,2,1,1,1,6,4,1
7,265,0,1,2,3,2,2,2,2,2,1,2,2,0
12,266,0,2,2,7,2,1,1,1,1,1,1,4,1
6,152,213,2,1,0,1,2,2,1,2,1,1,2,0
1,307,307,3,1,2,1,2,1,2,2,1,6,2,0
3,266,0,1,3,4,1,3,1,3,3,1,1,2,0
5,78,307,2,1,2,2,1,2,1,1,1,1,3,1
2,307,307,3,2,3,2,2,1,1,2,1,2,3,1
3,307,0,2,4,0,1,2,1,2,2,1,1,4,1
16,75,119,2,1,0,2,1,2,1,3,1,2,3,1
2,307,0,2,2,0,2,2,1,2,2,1,1,4,1
3,307,0,1,2,6,1,2,1,2,2,1,1,1,0
9,307,0,1,1,7,2,1,1,1,1,1,1,4,1
1,299,0,1,1,7,1,2,2,1,2,1,1,3,1
3,266,0,1,6,7,2,2,1,1,2,1,1,3,1
36,307,0,2,1,2,3,3,1,3,1,1,1,4,1
24,205,0,1,1,2,2,1,3,1,1,1,1,1,0
4,307,109,1,3,0,2,1,1,2,2,1,1,4,1
60,205,0,1,2,7,2,3,2,3,3,1,1,2,0
2,307,0,1,3,0,2,1,2,1,2,1,1,2,0
36,285,0,1,7,0,2,3,2,3,3,1,1,1,0
2,265,0,2,1,4,3,2,2,1,3,1,1,1,0
1,266,0,1,1,2,1,3,1,3,3,1,1,2,0
3,307,0,3,2,7,2,1,1,1,2,1,2,3,1
2,266,0,1,1,7,1,2,1,1,2,1,1,1,0
1,307,0,2,2,0,2,2,1,2,2,1,1,3,1
5,266,0,2,1,4,2,2,1,2,2,1,1,3,1
2,274,285,1,3,5,2,2,2,1,2,1,1,2,0
4,307,0,2,1,4,2,1,2,1,2,1,1,3,1
3,265,264,1,6,0,3,1,2,1,1,1,1,1,0
72,189,0,2,1,2,4,3,2,3,1,1,1,3,1
5,307,0,2,5,0,2,1,2,1,1,1,1,3,1
6,307,0,1,7,0,2,1,2,1,2,1,1,4,1
4,266,266,1,1,6,2,2,1,1,1,1,2,0,0
3,200,76,3,1,2,2,3,1,3,2,1,4,1,0
2,266,0,2,1,3,1,2,1,2,2,1,1,1,0
5,266,0,3,1,7,1,1,1,1,1,1,6,4,1
12,307,0,1,1,2,2,3,1,3,3,1,1,2,0
1,266,0,1,4,7,1,2,1,1,2,1,1,2,0
84,265,0,3,1,7,2,1,2,1,1,1,2,3,1
60,179,0,2,2,0,1,1,1,1,1,1,1,1,0
3,307,218,1,5,0,1,1,1,1,2,1,1,1,0
8,266,0,2,1,4,1,1,1,1,3,1,1,3,1
4,264,0,1,1,2,1,2,3,1,2,1,1,0,0
2,307,0,2,5,0,2,2,1,2,2,1,1,1,0
48,234,0,1,7,0,3,1,3,1,2,1,1,2,0
89,76,50,2,1,7,3,1,1,1,1,1,1,1,0
84,307,0,2,2,7,1,1,1,1,1,1,1,4,1
3,307,0,1,1,2,2,1,1,1,2,1,1,4,1
1,307,0,2,1,2,2,2,2,1,2,1,1,2,0
2,307,0,1,2,5,2,2,1,2,2,1,1,4,1
1,266,265,3,1,3,1,2,1,2,2,1,4,1,0
5,307,307,1,2,0,2,2,1,2,3,1,4,4,1
3,307,0,3,1,0,2,2,1,2,2,1,2,4,1
2,266,0,2,7,0,1,2,2,2,2,1,1,3,1
60,265,0,1,5,6,3,1,2,1,1,1,1,3,1
2,307,0,1,2,5,2,1,3,1,2,1,1,2,0
3,299,264,1,3,0,2,2,2,1,2,1,1,3,1
1,307,307,2,2,7,2,2,2,1,2,1,1,3,1
15,285,265,1,2,5,3,1,2,1,1,1,1,1,0
7,109,109,2,2,0,3,1,3,1,2,1,1,1,0
5,307,0,2,2,0,2,3,2,1,2,1,1,3,1
2,307,109,1,2,3,2,2,1,1,2,1,4,3,1
1,285,266,2,1,2,1,2,2,1,2,1,1,1,0
5,307,307,1,4,0,1,2,1,2,2,1,1,4,1
1,307,0,2,2,0,2,2,2,2,2,1,1,2,0
2,265,0,1,4,7,2,2,2,2,2,1,1,1,0
1,266,254,2,1,4,2,2,1,1,2,1,1,2,0
2,307,0,2,2,5,2,2,1,2,2,1,1,1,0
36,280,264,1,1,2,4,1,3,1,1,1,2,3,1
60,195,0,1,6,0,2,1,2,1,1,1,1,4,1
4,265,0,2,1,3,3,2,2,1,1,1,1,3,1
48,307,307,1,1,2,3,3,2,1,2,1,1,4,1
4,103,307,1,1,0,2,1,1,1,2,1,1,3,1
8,266,267,2,1,2,2,2,1,2,2,1,1,3,1
5,266,0,2,1,2,2,2,1,2,2,1,1,2,0
6,254,0,1,1,2,2,2,2,2,2,1,2,3,1
2,266,0,1,2,0,2,1,2,1,2,1,1,4,1
10,190,307,1,2,7,2,1,2,1,2,1,1,0,0
2,307,307,2,2,0,1,3,1,3,3,1,1,4,1
3,266,0,3,1,6,1,1,1,1,3,1,3,4,1
10,128,98,1,1,2,1,1,1,1,2,1,1,2,0
3,266,0,2,2,3,1,2,1,2,2,1,1,2,0
5,266,0,1,1,2,3,2,3,2,2,1,1,4,1
5,266,0,2,1,7,2,2,1,1,2,1,1,2,0
2,307,0,2,1,0,2,1,1,1,2,1,1,2,0
7,266,0,2,1,4,2,2,1,1,2,1,1,1,0
2,307,0,2,5,0,2,1,1,1,2,1,1,1,0
4,264,266,3,1,2,2,3,2,3,3,1,8,3,1
1,307,307,2,1,2,2,2,1,2,2,1,1,2,0
6,307,307,2,2,7,2,1,1,1,2,1,1,4,1
12,266,0,1,2,5,2,2,2,2,2,1,1,4,1
4,299,0,1,1,2,2,2,2,2,2,1,1,3,1
8,266,0,2,6,7,2,3,1,3,3,1,1,2,0
1,307,307,3,1,2,3,3,1,3,3,1,6,2,0
12,205,0,2,1,7,1,1,3,1,2,1,1,4,1
5,307,0,2,1,0,2,1,1,1,1,1,1,4,1
3,243,0,3,6,0,2,2,2,2,2,1,3,4,1
12,242,242,1,1,6,2,3,2,3,3,1,1,4,1
4,307,141,2,2,3,3,2,1,2,2,1,2,2,0
12,266,0,2,1,4,1,1,1,1,1,1,1,3,1
3,39,0,2,1,7,2,2,1,2,2,1,1,3,1
2,307,307,3,5,0,2,1,1,1,2,1,2,4,1
1,265,266,2,2,0,1,1,2,1,2,1,1,2,0
2,307,0,1,2,3,2,2,1,1,2,1,1,2,0
24,266,0,2,1,6,2,1,1,1,1,1,1,3,1
36,195,0,1,7,0,1,1,1,1,2,1,1,1,0
5,266,0,2,1,7,1,1,1,2,1,1,1,4,1
3,285,264,1,3,7,3,3,2,3,3,1,1,1,0
3,26,307,1,1,2,2,3,1,3,2,1,1,3,1
26,266,0,3,1,2,1,2,1,2,1,1,4,4,1
4,266,0,1,2,0,2,2,1,1,1,1,1,2,0
1,307,0,3,1,2,2,2,2,2,2,1,6,1,0
12,307,0,1,3,0,2,1,2,1,3,1,1,4,1
6,307,0,2,2,0,2,2,1,2,2,1,1,4,1
29,285,264,2,3,4,2,2,3,1,1,1,1,3,1
2,307,0,2,2,0,2,1,2,1,2,1,1,2,0
7,307,0,1,5,7,2,1,1,1,1,1,1,4,1
2,307,0,2,1,0,2,2,1,2,2,1,1,2,0
2,307,0,1,1,5,2,2,2,3,2,1,1,4,1
48,307,307,2,1,7,2,1,1,1,1,1,1,4,1
10,266,0,2,2,5,2,2,1,2,2,1,1,4,1
36,179,0,1,5,7,1,1,2,1,1,1,1,3,1
4,264,0,1,2,0,1,1,3,1,2,1,1,0,0
1,307,0,2,1,2,2,2,1,2,2,1,1,1,0
108,307,0,1,2,0,3,3,2,3,3,1,1,4,1
15,205,0,1,1,0,1,1,1,1,2,1,1,4,1
2,307,0,2,6,7,1,2,1,1,3,1,1,3,1
3,254,266,3,1,3,1,2,1,1,2,1,4,4,1
12,292,0,1,2,5,2,1,1,1,1,1,1,3,1
21,283,0,3,1,4,2,1,1,1,1,1,2,4,1
24,307,307,2,2,4,2,1,1,1,1,1,1,4,1
1,265,0,1,1,7,1,2,2,2,2,1,1,2,0
18,304,288,3,2,5,3,3,2,3,2,1,5,2,0
86,205,0,1,1,6,2,1,3,1,2,1,1,2,0
2,266,266,3,1,4,2,2,1,2,2,1,3,3,1
3,266,0,2,1,4,2,2,1,2,2,1,1,2,0
3,307,307,2,2,0,2,1,2,1,1,1,1,1,0
2,266,266,3,1,2,2,2,1,2,2,1,4,1,0
2,307,0,2,1,4,2,2,2,1,2,1,1,1,0
48,173,0,2,1,7,2,1,1,1,1,1,1,4,1
12,26,26,1,2,0,3,1,2,1,1,1,1,2,0
1,307,307,3,1,5,2,2,1,1,2,1,3,3,1
3,292,299,3,3,5,2,2,2,1,2,1,3,2,0
1,266,0,2,1,4,1,2,1,2,2,1,2,1,0
2,307,0,2,5,0,2,3,2,3,3,1,1,4,1
36,307,16,2,1,2,2,3,2,3,1,1,1,2,0
2,307,307,2,1,2,2,1,1,1,3,1,2,4,1
12,307,0,1,1,7,2,1,1,1,2,1,1,4,1
9,307,0,2,1,0,3,3,2,3,3,1,1,1,0
