Age,Breed1,Breed2,Gender,Color1,Color2,MaturitySize,Vaccinated,FurLength,Dewormed,Sterilized,Health,Quantity,AdoptionSpeed,AdoptionSpeedBinary,StatusPred
36,264,0,1,6,0,2,3,3,3,3,1,1,1,0,0
6,265,265,3,2,5,2,1,2,1,1,1,3,2,0,0
2,266,0,3,1,2,1,2,1,2,2,1,3,2,0,0
72,205,0,1,2,6,1,1,3,1,1,1,1,3,1,1
2,307,0,2,1,2,2,3,1,3,2,1,1,2,0,0
1,307,0,2,2,4,2,2,1,1,2,1,3,2,0,0
6,266,0,1,6,0,2,1,2,3,1,1,1,1,0,0
2,307,0,2,2,5,2,1,2,1,2,1,1,2,0,0
3,307,0,2,2,5,2,2,2,2,2,1,1,4,1,1
5,307,0,2,5,7,2,2,2,2,2,1,1,4,1,1
6,307,0,1,2,7,2,1,1,2,2,1,1,4,1,1
96,205,0,2,5,0,2,1,2,1,1,1,1,4,1,1
2,266,0,3,7,0,2,2,1,1,2,1,3,1,0,0
24,152,0,2,2,0,1,1,1,1,2,1,1,1,0,0
3,307,0,1,1,2,2,2,1,2,2,1,1,2,0,0
5,213,0,1,1,2,3,1,2,1,1,1,1,2,0,0
1,266,299,3,1,2,2,2,1,1,2,1,3,3,1,1
1,307,0,3,2,7,2,2,2,2,2,1,7,3,1,1
1,266,0,1,1,7,2,2,1,1,2,1,1,2,0,0
1,250,0,1,1,0,2,1,1,1,2,1,1,2,0,0
36,266,0,2,1,6,2,2,2,2,1,1,1,4,1,1
1,307,0,2,1,2,2,2,2,2,2,1,1,4,1,1
27,265,265,2,3,4,2,2,2,2,1,1,1,4,1,1
3,266,264,1,3,0,2,2,2,2,2,1,1,3,1,1
3,254,299,3,1,5,2,2,2,2,2,1,2,4,1,1
3,304,0,1,1,7,1,2,2,2,2,1,1,2,0,0
1,266,0,1,6,0,2,1,1,1,2,1,2,2,0,0
2,307,0,1,2,6,1,1,1,1,2,1,1,4,1,1
3,264,292,3,1,4,1,2,2,2,2,1,4,3,1,1
5,218,0,1,2,7,2,1,1,1,1,1,1,2,0,0
2,307,0,1,2,0,2,1,2,1,2,1,1,4,1,1
1,266,0,2,1,7,2,2,1,2,2,1,1,4,1,1
17,266,0,2,1,7,2,1,1,1,1,1,1,2,0,0
5,299,266,2,1,4,3,2,2,2,2,1,1,3,1,1
1,266,0,2,1,4,2,2,1,2,2,1,1,1,0,0
3,266,0,2,7,0,1,2,1,2,2,1,1,3,1,1
1,266,0,1,2,7,2,3,1,3,3,1,1,1,0,0
12,307,213,2,2,0,2,1,2,1,1,1,1,3,1,1
3,266,0,2,1,2,2,1,1,1,2,1,1,2,0,0
2,307,0,2,2,0,2,2,1,2,2,1,1,2,0,0
17,119,0,1,1,5,2,2,2,1,2,1,1,2,0,0
6,266,0,2,1,6,1,1,1,1,1,1,1,2,0,0
4,307,0,1,7,0,2,1,1,1,2,1,1,4,1,1
48,205,0,3,2,6,1,1,3,1,2,1,2,2,0,0
4,307,0,2,2,7,2,1,2,3,3,1,1,3,1,1
2,307,0,2,1,0,2,2,1,2,2,1,1,3,1,1
12,307,21,1,6,7,2,1,3,1,1,1,1,4,1,1
2,307,0,2,2,7,2,3,2,1,3,1,1,3,1,1
2,307,0,2,1,2,1,2,1,2,2,1,1,4,1,1
2,307,0,3,2,5,2,3,1,3,3,1,4,4,1,1
2,307,0,2,1,2,2,1,2,1,2,1,1,1,0,0
2,276,0,2,5,7,3,2,3,2,2,1,1,1,0,0
84,141,0,2,2,5,3,1,1,1,1,1,1,4,1,1
1,307,0,1,2,7,2,2,2,2,2,1,1,2,0,0
1,266,265,2,7,0,1,2,2,2,2,1,1,2,0,0
3,299,0,3,4,6,2,3,1,3,3,1,4,3,1,1
31,103,218,2,1,2,2,1,2,1,1,1,1,4,1,1
8,307,0,2,1,2,2,2,1,2,2,1,1,4,1,1
1,266,0,3,3,4,2,2,1,2,2,1,4,2,0,0
5,200,307,1,2,3,3,1,1,1,1,1,1,4,1,1
4,307,0,2,1,0,1,2,1,2,2,1,1,2,0,0
3,276,264,2,7,0,2,2,3,2,2,1,1,3,1,1
0,266,0,1,1,0,1,2,1,2,2,1,1,4,1,1
18,265,0,2,3,0,2,3,2,3,3,1,1,3,1,1
3,307,0,1,1,2,2,2,1,1,2,1,1,4,1,1
2,307,0,2,1,2,2,2,1,1,2,1,1,2,0,0
24,207,0,1,1,0,2,2,2,1,1,1,1,1,0,0
3,266,0,1,1,0,2,2,1,2,2,1,1,4,1,1
5,307,0,1,2,0,2,1,1,1,2,1,1,3,1,1
2,295,0,3,1,7,1,2,1,2,2,1,2,3,1,1
0,266,266,2,1,2,1,2,1,2,2,1,6,4,1,1
2,26,307,2,1,2,4,1,1,1,2,1,1,3,1,1
55,20,0,1,1,2,2,1,1,1,3,1,1,1,0,0
1,307,307,2,1,4,2,2,1,2,2,1,1,1,0,0
1,300,0,3,1,5,2,2,1,2,2,1,6,2,0,0
3,307,0,2,1,0,2,2,1,2,2,1,1,4,1,1
60,179,0,1,2,5,1,1,1,2,2,1,1,2,0,0
1,307,0,2,1,2,2,2,2,2,2,1,1,4,1,1
33,206,213,2,3,4,2,1,2,1,1,1,1,4,1,1
2,266,0,1,1,2,1,2,1,2,2,1,1,2,0,0
1,307,0,1,1,2,2,2,1,1,2,1,1,2,0,0
2,265,0,3,1,3,1,2,2,2,2,1,3,1,0,0
2,307,0,2,1,2,2,1,1,1,2,1,3,2,0,0
50,307,0,1,1,0,2,1,2,1,1,1,1,4,1,1
3,266,0,1,6,7,1,2,1,1,2,1,1,4,1,1
1,292,0,3,2,6,1,2,1,2,2,1,4,3,1,1
7,266,0,1,1,0,2,1,1,1,2,1,1,4,1,1
1,307,18,1,1,2,2,2,1,1,2,1,2,2,0,0
4,266,0,1,2,7,1,1,1,1,2,1,1,2,0,0
3,266,0,2,1,6,1,2,1,1,2,1,1,1,0,0
8,307,307,2,2,3,1,3,2,3,3,1,1,4,1,1
4,307,218,2,3,7,1,1,1,1,3,1,1,1,0,0
36,307,0,1,2,0,2,3,2,3,1,1,1,4,1,1
2,266,0,2,1,7,1,2,1,2,2,1,1,2,0,0
3,307,0,2,2,7,2,2,1,2,2,1,1,4,1,1
3,299,0,1,1,2,2,2,1,2,2,1,1,4,1,1
1,307,0,1,1,5,2,2,2,1,2,1,1,1,0,0
14,265,283,1,1,2,3,1,2,1,1,1,1,4,1,1
2,266,0,3,1,7,1,3,1,3,3,1,2,1,0,0
1,266,0,2,1,6,2,1,1,1,2,1,1,2,0,0
4,307,24,2,2,0,3,1,2,1,2,1,1,1,0,0
3,307,0,1,2,0,2,2,1,1,2,1,1,1,0,0
3,265,0,1,1,2,2,2,2,1,2,1,1,4,1,1
2,307,0,2,1,2,2,2,1,2,2,1,1,1,0,0
12,307,0,1,2,7,2,2,1,1,2,1,1,0,0,0
2,266,0,1,1,6,2,2,1,2,2,1,1,1,0,0
2,266,0,2,1,2,1,2,1,2,2,1,3,3,1,1
4,292,0,3,1,5,2,2,1,2,2,1,3,1,0,0
1,307,0,1,5,0,2,3,2,3,2,1,1,3,1,1
6,266,0,2,4,7,1,2,2,1,2,1,1,1,0,0
24,205,307,1,1,7,1,3,2,3,3,1,1,3,1,1
3,265,0,3,2,4,2,2,2,2,2,1,3,3,1,1
54,205,0,2,3,0,1,3,2,3,1,1,1,0,0,0
60,20,141,1,1,2,3,3,1,3,1,1,1,3,1,1
0,307,0,2,2,7,2,1,1,1,1,1,1,2,0,0
5,247,0,1,1,2,1,1,1,1,1,1,1,3,1,1
1,307,0,2,1,2,1,2,1,2,2,1,4,4,1,1
2,307,0,2,1,7,2,2,1,1,2,1,1,2,0,0
36,266,0,2,2,5,1,1,1,1,1,1,1,4,1,1
4,307,307,2,1,2,2,1,2,1,2,1,1,3,1,1
108,307,0,2,1,2,2,1,2,1,3,1,1,2,0,1
3,307,307,2,2,7,2,2,2,1,2,1,1,3,1,1
2,266,0,1,2,7,2,3,1,3,3,1,1,2,0,0
4,266,0,2,6,0,2,1,2,1,2,1,1,4,1,1
36,103,307,1,1,0,2,2,1,2,2,1,1,3,1,1
2,307,0,2,5,0,2,2,1,1,2,1,1,4,1,1
5,213,307,1,1,2,2,2,2,1,2,1,1,3,1,1
24,307,0,1,1,2,2,3,2,3,3,1,1,4,1,1
48,307,307,2,2,7,2,3,1,3,1,1,2,4,1,1
24,78,307,2,2,7,3,1,1,1,1,1,1,4,1,1
4,265,266,2,1,4,2,1,2,1,1,1,1,2,0,0
24,205,0,1,6,7,1,1,3,1,1,1,1,2,0,0
2,266,0,3,1,2,2,2,1,2,2,1,3,1,0,0
6,20,179,1,1,7,2,1,3,3,1,1,1,2,0,0
2,307,0,2,2,0,1,2,1,2,2,1,1,4,1,1
48,109,0,1,3,0,3,2,2,2,2,1,1,1,0,0
5,179,0,1,2,0,1,1,2,1,1,1,1,2,0,0
12,307,0,1,5,0,2,3,1,3,3,1,1,4,1,1
1,266,0,1,3,0,2,2,2,2,2,1,1,1,0,0
10,307,0,2,2,7,2,1,1,1,1,1,1,3,1,1
3,307,76,2,1,6,3,1,1,1,1,1,1,2,0,0
3,265,0,2,6,7,2,1,2,1,2,1,1,2,0,0
7,307,0,2,1,2,2,1,1,1,1,1,1,2,0,0
2,266,0,1,4,0,1,1,1,1,2,1,2,1,0,0
8,292,0,2,6,7,2,1,2,1,1,1,1,4,1,1
2,307,0,1,5,0,2,2,2,1,2,1,1,2,0,0
1,307,307,1,2,0,2,2,2,1,2,1,1,1,0,0
1,307,0,1,2,7,2,2,2,2,2,1,1,0,0,0
24,307,307,1,4,0,2,3,3,3,3,1,1,4,1,1
0,265,266,2,3,0,1,2,2,2,2,1,1,2,0,0
8,307,0,1,2,0,2,1,2,1,2,1,1,3,1,1
4,307,307,1,4,0,1,1,1,1,3,1,1,4,1,1
4,285,0,1,2,5,1,1,3,1,2,1,1,3,1,1
1,307,307,3,1,2,2,2,1,1,2,1,3,1,0,0
3,292,0,2,1,6,2,1,2,1,2,1,1,2,0,0
48,78,0,2,2,0,3,1,1,1,1,1,1,3,1,1
3,307,49,1,1,7,2,2,1,2,2,1,1,2,0,0
6,307,0,1,2,0,1,1,1,1,2,1,1,4,1,1
2,266,0,3,3,4,2,2,1,1,2,1,2,2,0,0
6,266,0,2,3,4,1,1,1,1,2,1,1,3,1,1
12,307,307,2,1,2,2,1,1,1,1,1,1,2,0,0
3,266,299,1,1,6,1,1,1,1,2,1,1,2,0,0
14,307,0,2,2,3,2,1,1,1,1,1,1,4,1,1
0,266,0,3,1,2,2,3,1,1,1,1,9,4,1,1
2,307,307,3,1,5,2,2,1,2,2,1,3,4,1,1
31,20,0,1,2,7,2,1,1,1,2,1,1,3,1,1
1,283,0,1,5,0,1,2,1,2,2,1,1,4,1,1
60,285,285,2,5,6,2,1,3,1,2,1,1,3,1,1
4,266,0,1,1,7,2,1,1,1,3,1,1,2,0,0
18,20,20,2,1,2,2,1,1,2,3,1,1,1,0,0
3,266,299,1,1,2,1,3,1,3,3,1,1,2,0,0
1,299,0,1,3,0,3,2,1,2,2,1,1,2,0,0
1,307,0,3,1,7,3,2,1,2,2,1,3,3,1,1
96,195,195,1,2,6,2,1,2,3,3,1,1,0,0,0
1,307,0,2,1,0,2,2,1,1,2,1,1,2,0,0
1,141,128,3,1,2,2,2,1,2,2,1,6,4,1,1
24,307,0,1,2,7,2,2,1,1,1,1,1,4,1,1
60,169,0,1,2,5,1,1,3,1,2,1,1,1,0,0
3,307,0,2,2,7,1,1,1,1,2,1,1,1,0,0
0,266,0,3,1,3,1,3,1,3,3,1,2,4,1,1
2,307,0,1,5,0,2,1,1,1,3,1,2,4,1,1
2,307,0,1,2,0,2,3,2,3,2,1,1,3,1,1
3,266,0,1,2,5,1,2,1,2,2,1,1,1,0,0
4,307,0,2,2,0,2,2,1,1,2,1,1,1,0,0
24,266,0,2,1,7,2,2,1,2,2,1,1,4,1,1
3,307,0,2,1,0,2,1,2,1,2,1,1,3,1,1
6,307,0,1,6,0,2,3,1,3,3,1,1,4,1,1
18,205,0,1,2,3,2,1,2,1,2,1,1,1,0,0
24,266,266,3,1,7,2,3,2,3,3,1,4,4,1,1
15,78,0,2,1,2,3,1,1,1,2,1,1,1,0,0
2,39,307,2,1,7,2,1,3,1,1,1,1,4,1,1
2,307,307,2,1,2,2,2,1,2,2,1,1,1,0,0
9,202,307,2,1,0,3,1,2,1,1,1,1,4,1,1
1,242,0,3,1,2,2,2,3,1,3,1,2,4,1,1
2,307,0,1,2,7,2,1,1,1,2,1,1,2,0,0
12,265,0,2,1,7,2,1,2,1,1,1,1,1,0,0
0,266,265,1,1,0,2,2,1,2,2,1,1,3,1,1
8,265,0,2,6,0,2,2,2,2,2,1,1,4,1,1
2,26,307,1,1,2,3,1,1,1,2,1,1,1,0,0
12,266,0,3,1,2,2,2,2,2,2,1,3,0,0,0
1,307,307,2,1,2,2,2,2,2,2,1,1,2,0,0
24,307,0,2,2,0,2,1,1,1,1,1,1,3,1,1
6,307,307,2,1,2,2,3,1,3,3,1,1,4,1,1
3,307,0,1,2,0,2,2,2,2,2,1,1,1,0,0
5,266,251,1,1,0,2,1,2,1,2,1,1,3,1,1
6,266,0,1,1,0,2,1,1,1,2,1,1,4,1,1
48,213,0,2,2,0,2,2,2,2,2,1,1,4,1,1
7,254,303,2,1,4,2,1,1,1,2,1,1,2,0,0
2,307,0,1,2,0,2,2,1,1,2,1,1,2,0,0
1,307,307,3,1,2,2,2,2,2,2,1,6,1,0,0
2,254,0,2,1,5,2,2,1,1,2,1,1,3,1,1
1,307,307,2,1,2,2,2,2,2,2,1,1,3,1,1
1,307,0,3,1,2,2,2,1,2,2,1,9,4,1,1
2,299,299,2,6,0,1,3,1,3,2,1,1,4,1,1
6,266,0,2,3,7,2,2,1,1,1,1,1,4,1,1
4,266,0,1,1,2,1,2,1,3,2,1,1,0,0,0
12,266,0,3,1,2,2,2,1,2,2,1,5,3,1,1
18,266,0,2,6,0,2,1,1,3,1,1,2,2,0,0
4,266,0,1,7,0,2,2,1,1,1,1,1,1,0,0
3,307,307,1,1,0,2,2,1,2,2,1,1,2,0,0
7,264,266,1,6,7,2,3,2,1,2,1,1,3,1,1
3,266,0,1,1,7,1,1,1,1,1,1,1,3,1,1
2,307,0,2,2,0,1,2,1,2,2,1,1,4,1,1
1,307,141,2,1,2,1,2,1,2,2,1,6,3,1,1
2,265,0,1,1,2,2,2,2,1,2,1,1,3,1,1
7,265,0,2,7,0,2,1,2,1,2,1,1,1,0,0
3,266,0,1,1,6,1,2,1,2,2,1,1,1,0,0
2,307,307,3,2,7,1,2,1,2,2,1,2,4,1,1
3,307,0,2,1,2,2,1,1,1,2,1,1,4,1,1
1,307,307,2,1,4,2,2,1,2,2,1,2,4,1,1
8,266,0,2,1,7,2,2,2,2,2,1,1,4,1,1
2,307,0,2,7,0,2,2,1,2,2,1,1,2,0,0
4,179,179,1,1,0,2,2,2,2,2,1,1,1,0,0
2,307,0,3,1,2,2,1,2,1,2,1,2,2,0,0
2,307,0,1,1,2,2,2,1,1,2,1,1,4,1,1
3,299,0,2,1,6,1,2,1,1,2,1,1,4,1,1
30,265,0,1,7,0,3,1,2,1,1,1,1,1,0,0
5,252,292,2,2,6,2,2,2,1,2,1,1,1,0,0
18,307,0,2,1,7,2,1,1,1,1,1,1,4,1,1
24,266,0,2,1,0,2,2,1,2,1,1,1,4,1,1
1,307,0,2,1,2,2,3,1,3,2,1,1,3,1,1
21,299,0,1,3,7,3,1,1,1,3,1,1,3,1,1
5,307,0,2,2,0,2,1,1,1,1,1,1,4,1,1
18,307,0,2,5,0,2,1,2,1,1,1,1,4,1,1
2,266,266,3,1,4,2,2,2,2,2,1,2,1,0,0
1,307,0,2,2,0,2,2,3,2,2,1,1,1,0,0
3,264,265,1,3,4,1,2,2,1,2,1,1,1,0,0
16,266,0,2,6,7,2,2,1,1,1,1,1,4,1,1
2,266,0,2,1,2,1,1,1,1,2,1,1,2,0,0
4,265,247,3,3,6,2,2,2,2,2,1,5,3,1,1
2,307,0,2,2,0,2,2,1,1,2,1,1,3,1,1
2,307,0,1,1,7,2,3,1,3,3,1,1,3,1,1
1,283,0,1,1,0,2,2,1,2,2,1,1,1,0,0
2,307,307,3,2,0,2,2,2,2,2,1,3,4,1,1
1,266,0,2,2,5,1,2,1,1,3,1,1,0,0,0
18,266,0,2,2,5,2,2,2,2,2,1,1,2,0,0
12,266,0,1,2,6,2,1,1,1,1,1,1,4,1,1
1,307,307,3,1,2,2,2,1,2,2,1,3,1,0,0
2,266,0,1,1,0,1,2,1,1,2,1,1,3,1,1
1,266,0,2,1,7,2,2,1,2,2,1,1,3,1,1
17,205,0,1,2,5,1,2,3,2,2,1,1,0,0,0
16,266,0,1,3,4,3,1,1,1,1,1,1,2,0,0
2,264,0,3,2,3,2,2,3,2,2,1,2,1,0,0
2,237,0,2,2,7,2,1,2,1,2,1,1,2,0,0
3,307,0,2,2,0,3,2,2,2,1,1,1,3,1,1
0,307,0,1,5,0,1,2,1,2,2,1,2,1,0,0
1,265,0,3,4,6,2,2,2,2,2,1,3,2,0,0
2,307,0,2,1,2,2,2,1,1,2,1,1,4,1,1
1,307,0,2,1,2,2,2,1,1,2,1,1,1,0,0
2,307,0,2,1,2,2,3,1,3,2,1,1,2,0,0
2,266,0,1,2,0,1,1,1,1,2,1,1,1,0,0
12,254,0,2,1,4,1,2,1,2,2,1,1,3,1,1
3,152,0,2,1,2,1,2,1,2,2,1,1,1,0,0
2,307,307,3,1,2,2,2,2,2,2,1,4,4,1,1
2,266,0,3,1,4,2,2,1,2,2,1,4,2,0,0
2,307,0,2,5,0,2,2,1,2,2,1,1,2,0,0
48,265,266,2,1,2,2,1,2,1,1,1,2,1,0,0
3,265,0,2,2,3,2,2,2,2,2,1,1,1,0,0
36,179,0,1,2,0,1,1,1,1,1,1,1,2,0,0
1,264,306,2,1,7,2,1,3,1,2,1,1,2,0,0
2,307,0,2,1,2,2,2,1,2,3,1,4,4,1,1
60,266,0,1,6,0,3,3,1,1,1,1,1,2,0,0
2,307,307,1,1,2,2,1,2,1,2,1,1,1,0,0
7,307,0,2,7,0,2,2,1,2,1,1,1,4,1,1
1,128,20,1,2,0,2,3,2,3,3,1,1,1,0,0
24,205,0,1,2,7,1,1,2,2,2,1,1,1,0,0
15,292,266,1,2,5,2,3,1,3,3,1,1,1,0,0
4,206,103,2,1,2,3,1,2,1,2,1,1,1,0,0
1,299,0,3,1,3,2,2,2,2,2,1,4,2,0,0
2,307,0,1,1,2,2,1,1,1,2,1,1,2,0,0
1,266,0,3,4,5,1,2,1,2,3,1,3,3,1,1
2,266,0,2,4,7,1,2,1,1,2,1,2,4,1,1
5,141,307,1,5,0,2,1,1,1,2,1,1,1,0,0
2,224,307,2,1,2,2,2,1,2,2,1,1,3,1,1
3,20,307,2,2,7,2,1,1,1,2,1,1,3,1,1
4,109,218,2,3,5,3,1,2,1,2,1,1,3,1,1
1,307,0,1,7,0,2,2,1,2,2,1,1,1,0,0
48,307,0,1,1,2,2,1,1,1,3,1,1,4,1,1
2,265,0,1,4,0,1,1,1,1,2,1,1,1,0,0
5,265,247,1,1,2,2,2,2,2,2,1,1,2,0,0
2,307,0,2,1,2,2,2,1,2,2,1,1,4,1,1
1,307,0,1,2,7,2,2,2,2,2,1,1,1,0,0
1,266,0,1,3,7,1,2,1,1,2,1,2,1,0,0
29,102,307,1,1,2,2,1,1,1,3,1,1,4,1,1
1,307,0,2,2,5,2,1,2,2,2,1,1,4,1,1
36,195,0,2,6,7,2,1,2,1,1,1,3,4,1,1
2,266,0,2,2,0,2,1,1,1,2,1,1,3,1,1
3,266,0,2,5,6,2,2,1,2,2,1,1,2,0,0
11,266,0,1,2,5,2,1,1,1,1,1,1,4,1,1
2,307,0,2,2,0,1,3,1,3,3,1,1,4,1,1
3,266,285,3,1,2,1,2,2,1,2,1,5,1,0,0
12,307,0,2,7,0,1,1,1,1,1,1,1,2,0,0
2,265,0,2,1,4,1,2,2,1,2,1,1,3,1,1
3,265,0,1,3,0,2,2,2,2,2,1,1,2,0,0
7,266,0,2,1,2,2,1,1,1,1,1,1,2,0,0
9,307,0,1,2,7,2,2,1,2,2,1,1,3,1,1
24,109,0,2,4,0,3,3,2,3,2,1,1,1,0,0
2,299,0,2,1,2,2,2,1,1,2,1,2,2,0,0
1,307,0,1,2,0,2,2,1,2,2,1,1,2,0,0
2,297,0,3,3,6,1,2,2,2,2,1,7,1,0,0
3,266,0,1,5,6,2,1,1,2,2,1,2,1,0,0
2,266,0,1,3,5,2,1,1,1,2,1,1,1,0,0
5,266,0,2,5,0,2,1,1,1,1,1,1,4,1,1
12,266,265,2,1,2,2,2,2,2,1,1,2,4,1,1
48,265,0,2,6,7,2,1,2,1,1,1,1,1,0,0
3,141,307,2,2,0,2,1,1,1,2,1,1,3,1,1
1,218,307,2,5,7,2,2,1,1,2,1,1,3,1,1
2,307,307,2,1,2,2,2,2,2,2,1,1,4,1,1
2,266,0,1,2,4,2,2,2,2,2,1,1,1,0,0
2,307,0,2,7,0,2,1,2,1,1,1,1,1,0,0
12,266,285,3,1,2,2,2,3,2,2,1,4,1,0,0
14,213,201,1,1,3,2,1,2,1,1,1,1,0,0,0
2,307,0,3,1,2,2,2,1,1,2,1,3,2,0,0
1,265,0,2,1,7,2,2,2,2,2,1,1,3,1,1
6,285,303,2,1,2,1,2,2,2,2,1,1,1,0,0
4,307,307,2,2,7,2,1,1,1,2,1,1,3,1,1
36,205,0,2,7,0,1,1,3,1,2,1,1,1,0,0
1,266,0,1,2,3,2,2,1,2,2,1,1,1,0,0
1,266,0,1,1,7,2,2,1,1,2,1,1,3,1,1
5,307,0,2,1,0,2,1,2,1,1,1,1,4,1,1
36,307,0,1,3,0,2,1,2,1,2,1,1,4,1,1
2,266,0,1,1,2,1,2,1,2,2,1,1,2,0,0
12,266,0,2,1,2,2,1,1,1,1,1,1,4,1,1
24,307,307,2,1,2,2,1,1,1,1,1,2,4,1,1
10,307,307,2,7,0,2,2,2,3,3,1,1,4,1,1
1,307,0,2,1,2,1,2,1,2,2,1,1,2,0,0
1,265,0,2,1,4,1,2,2,1,2,1,1,1,0,0
2,265,0,3,2,5,1,2,2,1,2,1,3,2,0,0
3,264,0,2,2,6,1,2,3,1,2,1,1,3,1,1
24,265,0,2,1,2,2,1,2,1,1,1,1,1,0,0
4,205,0,2,1,2,1,1,2,1,2,1,1,1,0,0
6,289,0,1,6,0,2,3,1,3,2,1,1,2,0,0
3,307,307,1,1,2,2,1,2,1,2,1,1,2,0,0
1,307,0,2,1,4,2,2,1,2,2,1,1,4,1,1
2,266,0,3,1,4,1,2,1,1,2,1,6,2,0,0
3,307,0,2,2,0,2,1,1,1,1,1,1,4,1,1
3,266,0,1,2,7,2,2,1,2,2,1,1,1,0,0
5,307,0,1,2,5,2,1,1,1,2,1,1,2,0,0
5,307,117,2,1,2,2,1,2,1,1,1,1,4,1,1
1,266,0,2,7,0,1,3,1,3,3,1,1,1,0,0
5,265,0,1,1,0,2,1,2,1,1,1,1,4,1,1
1,266,0,2,1,3,2,3,2,3,3,1,1,0,0,0
4,266,0,1,4,7,2,2,1,2,2,1,2,4,1,1
23,179,205,2,5,0,2,1,2,1,2,1,1,0,0,0
